"model","confound","delta_elpd","se","prob_multiplier"
"EQ","concurrent_volume",12.1347021567404,5.14403895170161,1.00587939112751
"EQ","difficulty",0.239262404975745,2.3930265015629,1.00011559238317
"EQ","duration",-4.53361010268682,3.99785691219104,0.997812246820052
"EQ","hearing",-4.69219677724565,2.63033404001307,0.997735805436145
"EQ","immersion",-0.910364528033453,2.17258678151917,0.999560307066213
"EQ","pre_mood",-2.22927696542771,3.05938634411103,0.998923634303645
"EQ","pre_post_mood",-4.35101865968389,3.59708905808695,0.997900266150324
"Volume","difficulty",0.276757133779497,0.66504393062012,1.00013370803657
"Volume","duration",-2.69965653863325,5.3155186345729,0.998696668172905
"Volume","hearing",-1.28026846317035,0.615260441531488,0.999381704043495
"Volume","immersion",-0.0465288010532845,0.544420023471103,0.999977522570953
"Volume","pre_mood",-1.89485491015052,0.614860732922602,0.999085029995075
"Volume","pre_post_mood",-1.28880786030904,0.916123448051022,0.999377581290036
