"selected_volume_db","selected_eq","odds_ratio","lower","upper"
-24,"BassCut",2.66053615227188,0.980659230254198,5.83895560441579
-23,"BassCut",2.54408079663545,0.98145757565385,5.42505993129032
-22,"BassCut",2.43356504931948,0.982256571068752,5.04050334618173
-21,"BassCut",2.32865624243008,0.983056217028227,4.6832061411768
-20,"BassCut",2.22904176256623,0.983856514062028,4.35123602893336
-19,"BassCut",2.13442776850128,0.984657462700342,4.04279769273916
-18,"BassCut",2.04453799493447,0.985459063473784,3.75622307731722
-17,"BassCut",1.95911263629841,0.986261316913405,3.48996236786968
-16,"BassCut",1.87790730504271,0.987064223550686,3.24257560857427
-15,"BassCut",1.80069205921664,0.987867783917541,3.01272491520554
-14,"BassCut",1.72725049454594,0.98867199854632,2.79916723976628
-13,"BassCut",1.65737889654363,0.989476867969802,2.60074764799971
-12,"BassCut",1.5908854485144,0.990282392721204,2.41639307342673
-11,"BassCut",1.52758949160768,0.991088573334175,2.24510651412977
-10,"BassCut",1.4673208333487,0.9918954103428,2.0859616408989
-9,"BassCut",1.40991910133089,0.992702904281597,1.9380977875807
-8,"BassCut",1.35523313898786,0.993511055685522,1.80071529653755
-7,"BassCut",1.30312044058203,0.994319865089964,1.67307119404496
-6,"BassCut",1.25344662274836,0.99512933303075,1.55447517223944
-5,"BassCut",1.20608493011973,0.995939460044143,1.44428585588694
-4,"BassCut",1.16091577273408,0.996750246666842,1.34190733378219
-3,"BassCut",1.11782629308445,0.997561693435985,1.24678593602063
-2,"BassCut",1.0767099608232,0.998373800889145,1.15840723971423
-1,"BassCut",1.03746619326967,0.999186569564332,1.07629328695772
0,"BassCut",1,1,1
1,"BassCut",0.964221649916817,0.929114779641676,1.00081409273504
2,"BassCut",0.930046359307717,0.863254273870776,1.00162884830877
3,"BassCut",0.897393999504246,0.802062304669202,1.00244426726096
4,"BassCut",0.866188822848837,0.745207941778004,1.00326035013182
5,"BassCut",0.836359205765901,0.692383713004224,1.004077097462
6,"BassCut",0.807837407815749,0.64330394139057,1.00489450979258
-24,"HighCut",7.56943375406158,2.80282630174809,16.344976085054
-23,"HighCut",6.92851813939562,2.68501269135768,14.5487811347666
-22,"HighCut",6.34416930802663,2.57215124207124,12.9499750512048
-21,"HighCut",5.81120797641288,2.46403379542068,11.5268662218956
-20,"HighCut",5.32494504821394,2.36046094264313,10.2601467860966
-19,"HighCut",4.88113379505488,2.26124165689691,9.13263067767622
-18,"HighCut",4.47592683438042,2.16619294093705,8.12902045519203
-17,"HighCut",4.10583741050835,2.07513948960022,7.23569975566114
-16,"HighCut",3.76770453708957,1.98791336647679,6.44054855616448
-15,"HighCut",3.45866160565732,1.90435369417366,5.73277873686794
-14,"HighCut",3.17610810642248,1.82430635759643,5.1027877144814
-13,"HighCut",2.91768414449285,1.74762371970391,4.54202816034474
-12,"HighCut",2.68124746775254,1.6741643492104,4.04289203555648
-11,"HighCut",2.46485275216535,1.60379275973385,3.59860736980515
-10,"HighCut",2.2667329166488,1.53637915990857,3.2031463834626
-9,"HighCut",2.08528226324622,1.47179921400163,2.85114370639638
-8,"HighCut",1.91904125940645,1.40993381259154,2.53782358394479
-7,"HighCut",1.76668279803532,1.35066885288617,2.25893508243009
