"metric","model","delta_elpd","ymin","ymax","se","delta_elpd_per_obs","prob_multiplier","pct_drop"
"EQ","drop_episode",-32.26,-52.16,-12.8,10.1,-0.0156,0.9845,"1.5%"
"EQ","drop_noise",-34.77,-52.32,-16.7,8.88,-0.0168,0.9833,"1.7%"
"EQ","drop_excerpt",-93.62,-123.33,-64.11,15.13,-0.0452,0.9558,"4.4%"
"EQ","drop_participant",-127.77,-162.52,-95.92,17.06,-0.0617,0.9401,"6%"
"EQ","drop_excerpt_add_octband",-25.83,-50.86,-1.39,12.76,-0.0125,0.9876,"1.2%"
"EQ","drop_excerpt_add_vocalpresence",-93.61,-122.33,-65.42,15,-0.0452,0.9558,"4.4%"
"EQ","drop_excerpt_add_genres",-67.94,-97.14,-39.15,14.84,-0.0328,0.9677,"3.2%"
"EQ","drop_participant_add_age",-126.79,-160.83,-93.42,17.08,-0.0613,0.9406,"5.9%"
"EQ","drop_participant_add_gender",-130.42,-162.71,-95.68,17,-0.063,0.9389,"6.1%"
"EQ","drop_participant_add_personality",-118.1,-151.69,-84.92,17.31,-0.0571,0.9445,"5.5%"
"Volume","drop_episode",-65.31,-87.25,-43.37,10.93,-0.0316,0.9689,"3.1%"
"Volume","drop_noise",-78.26,-100.07,-55.29,11.67,-0.0378,0.9629,"3.7%"
"Volume","drop_excerpt",-16.78,-28.31,-4.95,5.98,-0.0081,0.9919,"0.8%"
"Volume","drop_participant",-798.1,-877.8,-720.14,40,-0.3856,0.6801,"32%"
"Volume","drop_excerpt_add_octband",-16.58,-27.83,-5.33,5.7,-0.008,0.992,"0.8%"
"Volume","drop_excerpt_add_vocalpresence",-16.74,-27.86,-5.62,5.85,-0.0081,0.9919,"0.8%"
"Volume","drop_excerpt_add_genres",-14,-25.11,-2.16,5.85,-0.0068,0.9933,"0.7%"
"Volume","drop_participant_add_age",-795.45,-870.71,-716.72,39.83,-0.3843,0.6809,"31.9%"
"Volume","drop_participant_add_gender",-779.36,-853.45,-697.71,39.71,-0.3765,0.6863,"31.4%"
"Volume","drop_participant_add_personality",-772.23,-848.45,-696.6,39.25,-0.3731,0.6886,"31.1%"
